iter	Passed	Remaining
0	67	33678
1	75	18710
2	82	13660
3	89	11144
4	97	9613
5	105	8649
6	112	7916
7	120	7391
8	127	6951
9	134	6598
10	141	6301
11	148	6051
12	156	5846
13	163	5663
14	170	5500
15	177	5359
16	184	5237
17	191	5123
18	198	5024
19	205	4934
20	212	4856
21	220	4780
22	227	4708
23	234	4644
24	242	4600
25	249	4556
26	257	4510
27	264	4463
28	272	4421
29	279	4377
30	286	4337
31	293	4298
32	300	4258
33	308	4223
34	315	4192
35	322	4158
36	329	4124
37	336	4094
38	343	4065
39	350	4035
40	358	4011
41	365	3987
42	373	3966
43	380	3946
44	387	3922
45	395	3901
46	402	3877
47	409	3857
48	416	3834
49	423	3812
50	430	3791
51	437	3772
52	447	3773
53	454	3756
54	461	3736
55	468	3716
56	475	3697
57	482	3678
58	489	3659
59	496	3640
60	503	3622
61	510	3604
62	517	3586
63	524	3570
64	531	3553
65	537	3537
66	545	3522
67	552	3507
68	559	3491
69	566	3477
70	573	3463
71	580	3449
72	588	3442
73	595	3429
74	616	3492
75	634	3537
76	641	3523
77	648	3509
78	655	3495
79	663	3480
80	670	3468
81	678	3456
82	685	3442
83	692	3428
84	699	3415
85	706	3402
86	714	3390
87	721	3377
88	729	3369
89	736	3356
90	744	3344
91	751	3333
92	759	3321
93	766	3310
94	773	3298
95	780	3286
96	788	3274
97	795	3264
98	802	3251
99	810	3240
100	816	3227
101	824	3215
102	831	3205
103	839	3196
104	847	3187
105	854	3175
106	861	3164
107	868	3152
108	875	3141
109	882	3129
110	889	3118
111	897	3107
112	903	3095
113	910	3084
114	918	3073
115	925	3063
116	932	3052
117	939	3041
118	946	3031
119	953	3020
120	960	3009
121	967	2998
122	974	2988
123	981	2977
124	989	2967
125	996	2956
126	1003	2946
127	1010	2935
128	1017	2925
129	1024	2915
130	1031	2905
131	1038	2896
132	1045	2886
133	1053	2877
134	1060	2868
135	1068	2859
136	1075	2849
137	1082	2840
138	1090	2832
139	1098	2823
140	1108	2823
141	1116	2814
142	1123	2805
143	1131	2796
144	1138	2787
145	1145	2778
146	1153	2770
147	1161	2762
148	1169	2755
149	1177	2746
150	1184	2737
151	1192	2729
152	1199	2721
153	1207	2713
154	1215	2704
155	1222	2696
156	1230	2687
157	1237	2679
158	1245	2670
159	1252	2662
160	1260	2654
161	1268	2645
162	1275	2637
163	1283	2629
164	1291	2621
165	1298	2613
166	1307	2606
167	1315	2599
168	1323	2591
169	1331	2584
170	1340	2578
171	1348	2570
172	1356	2564
173	1364	2556
174	1372	2548
175	1379	2540
176	1387	2532
177	1395	2524
178	1402	2515
179	1409	2506
180	1417	2497
181	1424	2489
182	1432	2480
183	1439	2471
184	1446	2462
185	1453	2453
186	1461	2445
187	1468	2436
188	1475	2428
189	1483	2419
190	1490	2411
191	1497	2402
192	1504	2393
193	1512	2385
194	1519	2377
195	1527	2368
196	1534	2359
197	1541	2351
198	1550	2345
199	1558	2337
200	1565	2328
201	1572	2320
202	1580	2311
203	1587	2303
204	1595	2295
205	1602	2287
206	1610	2279
207	1618	2271
208	1626	2264
209	1633	2256
210	1641	2247
211	1648	2239
212	1655	2231
213	1663	2222
214	1670	2214
215	1677	2205
216	1685	2197
217	1692	2189
218	1699	2180
219	1706	2172
220	1713	2163
221	1721	2155
222	1727	2146
223	1735	2137
224	1742	2129
225	1748	2120
226	1756	2111
227	1763	2103
228	1770	2094
229	1777	2086
230	1784	2077
231	1791	2069
232	1798	2060
233	1805	2052
234	1813	2044
235	1820	2036
236	1827	2027
237	1834	2019
238	1841	2010
239	1848	2002
240	1855	1994
241	1862	1985
242	1869	1977
243	1876	1969
244	1884	1960
245	1891	1952
246	1898	1944
247	1905	1936
248	1912	1927
249	1919	1919
250	1926	1911
251	1933	1902
252	1940	1894
253	1947	1886
254	1954	1877
255	1961	1869
256	1968	1861
257	1975	1852
258	1982	1844
259	1989	1836
260	1996	1827
261	2002	1819
262	2009	1811
263	2017	1803
264	2024	1795
265	2031	1786
266	2038	1778
267	2045	1770
268	2052	1762
269	2059	1754
270	2065	1745
271	2072	1737
272	2079	1729
273	2086	1721
274	2093	1712
275	2100	1704
276	2107	1696
277	2114	1688
278	2121	1680
279	2128	1672
280	2135	1664
281	2142	1656
282	2149	1648
283	2156	1640
284	2163	1632
285	2170	1624
286	2178	1616
287	2185	1608
288	2192	1600
289	2199	1592
290	2205	1584
291	2212	1576
292	2219	1568
293	2226	1560
294	2233	1552
295	2241	1544
296	2248	1536
297	2254	1528
298	2261	1520
299	2268	1512
300	2275	1504
301	2282	1496
302	2289	1488
303	2296	1480
304	2303	1472
305	2310	1464
306	2317	1456
307	2324	1448
308	2331	1441
309	2338	1433
310	2345	1425
311	2352	1417
312	2359	1409
313	2366	1401
314	2373	1394
315	2380	1386
316	2387	1378
317	2394	1370
318	2401	1362
319	2408	1354
320	2415	1346
321	2422	1339
322	2429	1331
323	2436	1323
324	2443	1315
325	2450	1307
326	2457	1300
327	2464	1292
328	2472	1285
329	2479	1277
330	2486	1269
331	2493	1261
332	2500	1253
333	2507	1246
334	2514	1238
335	2521	1230
336	2528	1222
337	2535	1215
338	2542	1207
339	2548	1199
340	2555	1191
341	2563	1184
342	2570	1176
343	2577	1168
344	2584	1160
345	2591	1153
