COF_ID,SMILES,Topology,Dimensionality,Functional_Groups,Surface_Area_m2g,Pore_Volume_cm3g,Density_gcm3,Pore_Size_Angstrom,Porosity_fraction,Thermal_Stability_C,Bandgap_eV,Charge_Mobility_cm2Vs,CO2_Uptake_mmolg,CH4_Uptake_mmolg,H2_Uptake_mmolg,CO2_CH4_Selectivity,CO2_N2_Selectivity,SOx_Stability_Score,NOx_Stability_Score,H2O_Stability_Score,C_Content_percent,H_Content_percent,N_Content_percent,O_Content_percent,Other_Content_percent,IR_Peaks_cm1,IR_Intensities,Raman_Peaks_cm1,Raman_Intensities,PXRD_Peaks_2theta,PXRD_Intensities,Discovery_Year,Patent_Status,Novelty_Score
COF_0000,c1ccncc1,hcb,3D,F;NO2;SO3H,828.5761634624815,0.2974842813718781,1.1527937603524288,29.04460046972835,0.5128682798964728,280.5234882516332,1.8084844859190752,1.203095857295627,0.5,2.2411474162087472,1.467185352719217,1.0,11.277223729341882,0.239091291463797,0.3645985762213965,0.4109051341822387,65.28468876827223,4.962072844310212,5.696756190799966,9.8980830747187,14.158399121898896,"835.8,843.1,1423.4,1840.6,2016.3,2320.9,3343.9","0.39,0.75,0.69,0.87,0.34,0.51,0.35","532.7,761.1,1136.1,1184.1,1595.2,1945.3","0.95,0.92,0.68,0.94,0.27,0.36","2.59,8.28,12.49,13.26,22.51,24.30,25.07,30.40,34.09,38.52,38.68","0.54,0.52,0.43,0.21,0.36,0.77,0.83,0.68,0.94,0.72,0.93",2013,No,0.6896580700368912
COF_0001,c1ccc(cc1)O,sql,2D,OH;F,2591.4089024375,1.4019513741628855,1.2688833049280142,38.95655297064336,0.4599355738631925,304.5025465112369,1.5808671790768627,2.6393295131030965,11.546249031868362,5.2749884053777025,2.4639543749555908,2.0480491677594346,45.30936180530837,0.5667195886775572,0.5525676340164732,0.4773991537414852,65.79682182603347,3.015306123673847,19.14280355836971,9.785251064350968,2.2598174275719884,"1235.3,2510.2,2981.9,3152.9,3310.2","0.84,0.35,0.91,0.63,0.85","200.9,689.8,834.6,841.3,1365.8,1832.3","0.44,0.33,0.63,0.59,0.75,0.42","11.57,13.43,14.28,15.82,20.90,21.71,28.71,37.83,38.57,38.93","0.43,0.23,0.69,0.60,0.24,0.42,0.93,0.39,0.32,0.59",2010,Yes,0.4457826344118692
COF_0002,c1ccncc1,srs,2D,SO3H;COOH;NO2,1884.8863246338055,2.8758683689459055,1.0781796374830064,11.028701758617178,0.8900759701392178,503.2584055885275,1.8519178104037697,1.730797843767497,12.930540271691148,4.366846781589001,3.001124448999345,3.508656795075629,9.327944799113936,0.5467766889914221,0.7443605891949466,0.6416622742942732,69.70432238481544,3.045358103688568,13.121719607413487,11.045197191486068,3.0834027125964383,"1272.4,1504.2,2194.9,3406.6,3451.9,3489.9","0.65,0.91,0.35,0.42,0.76,0.88","351.5,490.9,1355.7,1603.8,1796.8,1817.4","0.69,0.21,0.28,0.73,0.20,0.33","8.69,19.04,20.45,39.79","0.21,0.60,0.34,0.49",2012,No,0.7389684537930483
COF_0003,c1ccc2ccccc2c1,hcb,2D,SO3H,1239.508910934291,2.105560881705849,1.27678214410251,24.46968611837821,0.5788652168298974,335.525874539243,2.7902067240611297,2.7823533979565065,9.391557839481724,3.85918403293798,2.28947175498308,1.6475240860112212,30.74018896441324,0.5721202841328038,0.7006381764714479,0.5951144540448783,74.06143694047907,3.6537515233525686,13.291474502532347,9.439802099220898,0.0,"1257.6,1595.0,1655.7,1839.8,3098.1,3103.1","0.65,0.95,0.76,0.66,0.28,0.69","445.9,657.5,731.5,780.6,845.6,1195.1,1476.0,1727.6","0.44,0.54,0.40,0.69,0.27,0.20,0.70,0.36","3.37,5.57,14.84,16.27,19.69,22.62,23.97,28.67,32.24,35.82","0.43,0.67,0.22,0.23,0.86,0.49,0.30,0.62,0.82,0.37",2009,No,0.6759862952508797
COF_0004,c1ccncc1,sql,2D,COOH;NO2,2395.9065151101995,1.198052008000236,1.0747048142455742,15.833290050482969,0.4811218892350948,228.36574532710097,3.1252968293558503,1.5390389068167245,12.138184990911835,5.244905534401585,2.274754674876852,2.1465891779569164,12.039666920198872,0.4453705346303454,0.3120772513655454,0.3633941610963525,74.09730561326388,5.689484583478842,13.31531078767101,9.95236970104658,0.0,"838.9,1113.4,1468.9,1761.1,2846.2","0.24,0.23,0.88,0.76,0.58","823.3,1036.4,1574.1,1652.4","0.72,0.24,0.96,0.91","8.19,16.24,21.12,25.78,27.03,34.55","0.26,0.71,0.22,0.67,0.95,0.66",2022,No,0.7376792920582164
COF_0005,c1ccccc1,pts,2D,NO2,4331.178952634027,3.1781921826506165,0.4153702482682261,7.774452035006618,0.6421487801602549,243.49225399187557,1.8379512605875223,1.134713604332135,21.207956949095717,8.0,6.0,2.304208488095922,33.302428105094776,0.7702174488597071,0.6472862562174228,0.7793791127054744,70.01229503281716,6.03417369633632,19.8575771300101,7.364029799848544,0.0,"1475.0,2317.0,2367.5,3141.2","0.39,0.74,0.79,0.39","219.5,776.1,900.6,1109.5,1687.6,1811.9,1824.6,1829.7","0.27,0.46,0.96,0.96,0.66,0.71,0.56,0.43","4.12,6.31,10.08,22.74,23.04,30.01,31.69,37.38,37.96,39.02,39.85","0.76,0.97,0.75,0.87,0.89,0.87,0.54,0.38,0.52,0.91,0.32",2009,Yes,0.5159728439704545
COF_0006,c1ccc2ccccc2c1,sql,3D,NO2,2724.7160138725867,1.290742038781066,0.9789993151415198,24.266679518564615,0.8217378172233695,302.078970961995,1.860505058038197,0.9726988959459428,10.455281686022444,4.781925911872936,4.236335359074577,1.228505679539288,38.34382374098007,0.7202560947915035,0.5783863371269292,0.7113320662654673,63.0044578574405,4.388574454401138,6.243369825400313,8.868811576863719,17.494786285894335,"832.8,916.5,2224.8,3206.1,3400.7,3418.7,3481.0","0.26,0.64,0.98,0.62,0.70,0.76,0.56","304.2,891.6,910.1,1454.5,1526.8,1847.5,1925.7","0.29,0.47,0.34,0.72,0.51,0.38,0.41","13.76,22.37,28.02,28.53,32.92,39.03,39.48","0.33,0.93,0.86,0.96,0.78,0.69,0.53",2022,No,0.7142357761946395
COF_0007,c1ccc(cc1)C#N,bor,2D,OH,1788.8145192300424,2.648566219918645,0.6322883938767451,38.16656882826058,0.4958781069738758,232.15121631987716,1.7677042376012664,1.761060252433963,11.641792783809407,6.331298439987522,3.3048201765105936,1.9351172539808297,31.33172895464624,0.7308589413013336,0.6260794835644563,0.4808466630275265,60.02884879023597,3.373658985129544,8.108414735120848,13.4168686772295,15.072208812284131,"1106.6,1767.0,2204.8,2613.2","0.82,0.62,0.88,0.64","359.1,957.0,1064.1,1261.9,1350.9,1612.4,1625.3","0.84,0.92,0.69,0.98,0.69,0.71,0.64","15.23,17.07,21.53,31.78,36.36","0.70,0.89,0.96,0.32,0.94",2014,No,0.5026129082499435
COF_0008,c1ccc(cc1)N,srs,3D,CF3,2671.4772149520622,1.2613149155522532,0.7909897583854771,23.40476635934288,0.3353809651049876,450.23029931998747,1.6601345446985971,4.054929110451697,11.449211182646328,6.355266282383002,3.328356273578753,2.3380888886906224,48.78996571715469,0.5745314984954949,0.5369531413587173,0.6317730304714676,55.6360936297033,4.743576546037043,13.016352555987844,6.6278892955358195,19.976087972735986,"1049.2,1147.6,1668.3,1691.3","0.58,0.75,0.61,0.33","204.7,352.1,1165.9,1275.1,1762.9,1863.3,1975.3","0.39,0.81,0.63,0.78,0.25,0.32,0.31","6.07,19.00,21.44,22.22,36.02","0.63,0.39,0.42,0.50,0.22",2021,Yes,0.4047595011387
COF_0009,c1ccc(cc1)C(F)(F)F,dia,2D,CF3;NO2,1694.7037192649757,2.3059976569913583,0.7275403119296753,28.36797938856677,0.6602340852188998,413.5566934380505,2.1289170850452823,4.428980429582183,7.953197004226409,3.478161306484753,2.9833009122170724,2.705826080341981,15.995891995909451,0.5394112795127683,0.4888119009766767,0.5739527568727101,72.01635035672292,2.4394381227007194,17.087973301117152,2.7234953616406794,5.732742857818536,"1016.6,1908.1,2216.2","0.99,0.29,0.52","209.5,1083.3,1501.2,1677.6,1851.3,1955.1","0.77,0.63,0.58,0.87,0.36,0.97","6.36,11.21,12.97,18.17,21.29,25.20","0.66,0.32,0.58,0.63,0.24,0.47",2014,No,0.2583074373284164
